feature,coefficient_scaled
field_size,0.47656314618788403
ai1_score,0.08559888033790597
ai2_score,0.10051371347697567
ai5_score,0.1393056660846492
ai_gap12,-0.010584964533007385
ai_gap15,-0.00799313256407217
ai_top3_sum,-0.3765535210510102
ai_score_std,-0.06585829304130802
