year,stage1_races,points_per_race,investment_yen,all_quinella_hits,hits_50x_plus,hits_100x_plus,hits_200x_plus,return_yen,roi_pct,max_payout_yen
2025,767,10,767000,65,39,23,13,1314670,171.4042,280380
2026-01-04_to_09-20,489,10,489000,21,10,3,1,167050,34.1616,56950
