year,stage1_100x_races,top10_100x_hits,median_actual_pair_model_rank,rank_1_10,rank_11_20,rank_21_30,rank_31_50,rank_51_100,rank_101_plus
2025,148,23,54.0,23,19,9,20,53,24
2026,83,3,67.0,3,4,5,14,45,12
