evaluation_timepoint,usable_races,final_high_extreme_races,high_extreme_recall_pct,extreme_final_races,extreme_recall_pct,high_extreme_precision_pct,high_extreme_miss_pct
morning,824,287,96.51567944250871,139,93.5251798561151,84.45121951219512,3.484320557491289
noon,824,287,98.60627177700349,139,97.12230215827337,90.12738853503186,1.3937282229965158
60m,764,265,97.73584905660377,126,96.82539682539682,88.09523809523809,2.2641509433962264
50m,784,272,97.05882352941177,131,96.18320610687023,86.8421052631579,2.941176470588235
40m,805,280,97.14285714285714,136,95.58823529411765,88.02588996763754,2.857142857142857
30m,814,282,97.16312056737588,137,94.8905109489051,88.10289389067523,2.8368794326241136
20m,819,284,97.1830985915493,137,94.16058394160584,89.6103896103896,2.8169014084507045
10m,823,286,98.6013986013986,138,94.20289855072464,89.24050632911393,1.3986013986013985
5m,823,286,98.6013986013986,138,94.92753623188406,94.63087248322147,1.3986013986013985
