evaluation_timepoint,usable_races,exact_level_match_pct,within_1_level_pct,two_or_more_level_difference_pct
morning,824,78.27669902912622,99.63592233009709,0.3640776699029126
noon,824,87.37864077669903,99.63592233009709,0.3640776699029126
60m,764,83.7696335078534,99.73821989528795,0.2617801047120419
50m,784,83.16326530612244,99.74489795918367,0.25510204081632654
40m,805,83.97515527950311,99.75155279503105,0.2484472049689441
30m,814,84.3980343980344,99.87714987714988,0.12285012285012285
20m,819,85.34798534798534,99.87789987789988,0.1221001221001221
10m,823,87.60631834750912,99.87849331713244,0.12150668286755771
5m,823,93.31713244228432,100.0,0.0
